particleCount,pwiTicks,bhTicks,pbhTicks
100,147461,18898,0
200,493848,658,0
300,967274,5860,0
400,2297154,939,0
500,2937988,1333,0
600,3858292,1271,0
700,5406330,1263,0
800,6678114,1211,0
900,7327895,710,0
