particleCount,pwiTicks,bhTicks,pbhTicks
200,463633,877,865
400,1459420,688,1627
600,3740288,1829,1620
800,6325001,791,1935
1000,13194696,1299,4810
1200,17660244,1339,1440
1400,20655134,850,1320
1600,29769243,1535,24243
1800,56033220,1488,2532
2000,42846321,1754,2106
2200,60941209,2091,2877
2400,70781170,848,1285
2600,76848427,1282,1391
2800,89588572,1722,1947
3000,91691718,1203,1536
3200,113312400,1584,2796
3400,184776966,3216,14077
3600,222687167,2166,2101
3800,266344680,4564,3714
